brain_volume,gray_matter_volume,white_matter_volume,csf_volume,mean_intensity,std_intensity,max_intensity,contrast,homogeneity,energy,area,entropy,skewness,kurtosis,total_neurons,neuron_density,occipital_lobe,hippocampus,temporal_lobe,thalamus,insular_lobe,frontal_lobe,lbp_4,lbp_9,SRE,LRE,GLN,RLN,RP,LGRE,HGRE,name,label
8548,2594,3718,10072,65.94537353515625,85.40414466870955,255,313.3184055118111,0.5157221994736977,0.4502480143932938,5157,4.99244458017712,0.8801411926520669,-0.8498648873890318,5086,0.3104248046875,48.4456,100.6064,11.642857142857142,93.8524,134.3336,43.71428571428572,0.1345214843667894,0.0570068359340205,8098.420277701438,467030.0,663426.0,64188920.0,0.529541015625,602.1822617957093,186093666.0,test_image_1.png,label_0
9387,3408,4000,8976,71.4072265625,82.40094483375506,255,353.96801181102364,0.453918614494523,0.3927204283276556,6113,5.4139308856479245,0.6467597135886114,-1.1631424689640122,5814,0.3548583984375,53.2104,90.2672,27.61142857142857,98.4476,148.7444,63.56142857142857,0.1456909179598577,0.0602416992150731,9089.379624664714,373986.0,833400.0,80960428.0,0.5911865234375,718.8531039312703,191164040.0,test_image_10.png,label_0
9351,3321,4055,9008,71.6650390625,83.49574195261232,255,338.2114911417324,0.4570123998856324,0.3957360592707262,5934,5.396908199342823,0.6670925208798165,-1.1465017351254148,5711,0.34857177734375,55.3008,90.432,22.025,107.25,145.914,59.66785714285714,0.1447143554599173,0.0601196289025805,9119.610236892022,377018.0,838223.0,81607813.0,0.59136962890625,715.4255926725784,195771698.0,test_image_1009.png,label_0
9401,3311,4078,8995,72.4482421875,83.4684129406098,254,380.2813730314961,0.4525688893054836,0.3912258905962346,6200,5.416964852184555,0.6285047059814357,-1.202965807438056,5953,0.36334228515625,55.8628,87.4396,29.497142857142855,89.2416,156.8768,71.66071428571429,0.1448974609286561,0.0601806640588268,9107.416968049412,372030.0,858048.0,81207074.0,0.593017578125,732.8825821694577,196812138.0,test_image_1016.png,label_0
8575,2753,3775,9856,66.2974853515625,85.36011365073037,255,370.19069881889766,0.514117274080818,0.4477384430428013,5192,5.000148579201108,0.8622497200774907,-0.87681544374021,5105,0.31158447265625,49.0036,102.5708,11.128571428571428,96.4824,132.022,44.48285714285714,0.133544921866849,0.0578613281214684,8082.250451581631,433306.0,687019.0,63824581.0,0.53094482421875,624.7028888923892,187046529.0,test_image_1018.png,label_0
8977,2867,3580,9937,64.10101318359375,80.77853742392504,240,318.94094488188983,0.4947985168794377,0.4216549125651455,5404,5.111416625665918,0.8181578228252021,-0.9703778599416192,5149,0.31427001953125,46.4532,98.92,16.972857142857144,84.9252,127.5284,46.19857142857143,0.134643554679282,0.061340332027506,8480.598575980051,404112.0,803235.0,70305277.0,0.55645751953125,660.2171665268099,169536486.0,test_image_1021.png,label_0
8668,3827,2694,9863,54.87615966796875,67.23845983842325,253,253.60100885826773,0.5119201859868898,0.4411598878567286,5784,4.859550760953663,0.7064559530669664,-1.1705393353751872,4924,0.300537109375,39.7144,78.1812,12.942857142857145,73.5368,117.0592,37.78714285714285,0.1333007812418639,0.056884765621528,8188.624247576667,451430.0,788901.0,65650469.0,0.53546142578125,632.7028942854823,120452567.0,test_image_1032.png,label_0
9344,3400,3447,9537,64.76312255859375,77.81178999999636,247,359.74544783464574,0.4601736737874136,0.3954684486399508,5625,5.359197045575486,0.7644492820494803,-0.9754507418227828,5207,0.31781005859375,51.3328,88.6364,22.32857142857143,99.3416,116.7228,53.74857142857143,0.1380615234290733,0.0635375976523719,8988.24429677237,377428.0,846166.0,79061130.0,0.5865478515625,719.7271470054256,165533020.0,test_image_1034.png,label_0
8738,2528,3585,10271,63.39276123046875,82.48878563010321,253,323.7515994094488,0.50891482696173,0.4375529991977136,4979,5.061508715120818,0.915072428938862,-0.7730152895145075,4883,0.29803466796875,45.2196,102.0252,15.572857142857142,87.1196,118.4604,45.17,0.1370239257728867,0.0584716796839311,8174.4914015112145,424132.0,701919.0,65211201.0,0.53790283203125,620.2878853573253,173612162.0,test_image_104.png,label_0
8636,3254,3312,9818,62.748291015625,78.7826917634415,238,303.4719488188977,0.5077853795042162,0.4437969258752315,5552,4.996819971324353,0.8055180329193935,-0.955338857145256,5189,0.31671142578125,46.4812,96.8664,13.157857142857145,86.6632,126.8904,45.27071428571429,0.137084960929133,0.0571899414027594,8190.814513451538,473976.0,691874.0,65616690.0,0.535888671875,615.3709409137476,161746742.0,test_image_1048.png,label_0
